canonical_id,name_variant,source_hint
arsenal,Arsenal,openfootball
arsenal,Arsenal F.C.,wikipedia
arsenal,Arsenal FC,football-data
aston-villa,Aston Villa,openfootball
aston-villa,Aston Villa F.C.,wikipedia
aston-villa,Aston Villa FC,football-data
bournemouth,AFC Bournemouth,openfootball
bournemouth,Bournemouth,football-data
brentford,Brentford,openfootball
brentford,Brentford F.C.,wikipedia
brighton,Brighton & Hove Albion,openfootball
brighton,Brighton,football-data
brighton,Brighton & Hove Albion F.C.,wikipedia
chelsea,Chelsea,openfootball
chelsea,Chelsea F.C.,wikipedia
chelsea,Chelsea FC,football-data
crystal-palace,Crystal Palace,openfootball
crystal-palace,Crystal Palace F.C.,wikipedia
crystal-palace,Crystal Palace FC,football-data
everton,Everton,openfootball
everton,Everton F.C.,wikipedia
everton,Everton FC,football-data
fulham,Fulham,openfootball
fulham,Fulham F.C.,wikipedia
fulham,Fulham FC,football-data
ipswich,Ipswich Town,openfootball
ipswich,Ipswich Town F.C.,wikipedia
leicester,Leicester City,openfootball
leicester,Leicester City F.C.,wikipedia
leicester,Leicester City FC,football-data
liverpool,Liverpool,openfootball
liverpool,Liverpool F.C.,wikipedia
liverpool,Liverpool FC,football-data
manchester-city,Manchester City,openfootball
manchester-city,Manchester City F.C.,wikipedia
manchester-city,Manchester City FC,football-data
manchester-united,Manchester United,openfootball
manchester-united,Manchester United F.C.,wikipedia
manchester-united,Manchester United FC,football-data
manchester-united,Man Utd,understat
newcastle,Newcastle United,openfootball
newcastle,Newcastle United F.C.,wikipedia
newcastle,Newcastle United FC,football-data
nottingham-forest,Nottingham Forest,openfootball
nottingham-forest,Nottingham Forest F.C.,wikipedia
southampton,Southampton,openfootball
southampton,Southampton F.C.,wikipedia
southampton,Southampton FC,football-data
tottenham,Tottenham Hotspur,openfootball
tottenham,Tottenham,understat
tottenham,Tottenham Hotspur F.C.,wikipedia
tottenham,Tottenham Hotspur FC,football-data
west-ham,West Ham United,openfootball
west-ham,West Ham,understat
west-ham,West Ham United F.C.,wikipedia
west-ham,West Ham United FC,football-data
wolves,Wolverhampton Wanderers,openfootball
wolves,Wolves,understat
wolves,Wolverhampton Wanderers F.C.,wikipedia
wolves,Wolverhampton Wanderers FC,football-data
leeds,Leeds United,openfootball
leeds,Leeds,understat
leeds,Leeds United F.C.,wikipedia
burnley,Burnley,openfootball
burnley,Burnley F.C.,wikipedia
sheffield-united,Sheffield United,openfootball
sheffield-united,Sheffield United F.C.,wikipedia
luton,Luton Town,openfootball
luton,Luton,understat
